 Weather Station,Type,Coefficient,Average Value,Installation Capacity (MW)
Athenry,wdsp^3,0.0,610.0821152772209,0.0
Athenry,glorad,0.015067782004269,944.7386665829888,71.17558139538124
Ballyhaise,wdsp^3,0.0,440.5769204547943,0.0
Ballyhaise,glorad,0.2679158023431995,895.4103718971244,1199.4729410662035
CarlowOakpark,wdsp^3,0.96389825095855,715.1245168786801,1723.2681775923443
CarlowOakpark,glorad,0.0853277246347927,947.7615474027712,404.3516816811434
Claremorris,wdsp^3,0.0,1103.8291768734084,0.0
Claremorris,glorad,0.0362600522144566,903.5077862504056,163.80619752803898
Dunsany,wdsp^3,0.0,846.1393991842724,0.0
FermoyMoorepack,wdsp^3,0.0,343.30034799629544,0.0
FermoyMoorepack,glorad,0.2368989913307069,935.999817259263,1108.6870629722268
Finner,wdsp^3,0.0,1939.296307208772,0.0
Finner,glorad,0.1221759638152931,951.09631750762,581.0055463633474
Gurteen,wdsp^3,0.0,915.5604823995776,0.0
Gurteen,glorad,0.1996565902297906,947.7749206453128,946.1475448067677
JohnstownCastle,wdsp^3,0.0394392478262355,954.5590194663438,94.11772433375371
JohnstownCastle,glorad,0.0275123849562442,1023.4602903038224,140.78916747134102
MaceHead,wdsp^3,0.410444587128321,5008.552000165961,5139.332644547109
MaceHead,glorad,0.0004470541451787,1019.9600035524908,2.2798867375231127
MountDillon,wdsp^3,0.1158548254752382,698.7438794421626,202.38212551165654
MountDillon,glorad,0.0730423205185003,889.0688881486094,324.6982734558871
Mullingar,wdsp^3,0.0,705.775933615906,0.0
Mullingar,glorad,0.1306691455297324,916.5291629807128,598.810412898853
RochesPoint,wdsp^3,0.0,3002.1232770574115,0.0
RochesPoint,glorad,0.0619647101039857,1048.9943371941345,325.00315002478584
SherkinIsland,wdsp^3,0.0655336568813977,3210.177303972793,525.9366449175084
SherkinIsland,glorad,0.1573506879430891,1083.6021492717389,852.5277182225901
