date,wdsp,wdsp^3,glorad
06/02/2008,11.1,1367.631, 
07/02/2008,14.7,3176.523, 
08/02/2008,13.2,2299.968,122
09/02/2008,10.7,1225.043,691
10/02/2008,6.4,262.144,124
11/02/2008,8.1,531.441,683
12/02/2008,5.1,132.651,761
13/02/2008,3.3,35.937,776
14/02/2008,4.4,85.184,534
15/02/2008,2.6,17.576,148
16/02/2008,3.9,59.319,609
17/02/2008,3,27,653
18/02/2008,2.8,21.952,702
19/02/2008,4.7,103.823,456
20/02/2008,7.2,373.248,293
21/02/2008,16.7,4657.463,219
22/02/2008,15.9,4019.679,682
23/02/2008,13.4,2406.104,355
24/02/2008,9.5,857.375,699
25/02/2008,16,4096,207
26/02/2008,15.1,3442.951,860
27/02/2008,5.9,205.379,812
28/02/2008,6.3,250.047,519
29/02/2008,19.4,7301.384,180
01/03/2008,16.3,4330.747,381
02/03/2008,12.2,1815.848,670
03/03/2008,10.6,1191.016,632
04/03/2008,7.8,474.552,926
05/03/2008,9.9,970.299,408
06/03/2008,13.4,2406.104,477
07/03/2008,12.5,1953.125,865
08/03/2008,15.1,3442.951,836
09/03/2008,13.3,2352.637,986
10/03/2008,14.9,3307.949,650
11/03/2008,18.4,6229.504,762
12/03/2008,18.8,6644.672,1098
13/03/2008,9.2,778.688,637
14/03/2008,7.9,493.039,404
15/03/2008,8.4,592.704,229
16/03/2008,9.3,804.357,532
17/03/2008,7.4,405.224,968
18/03/2008,3,27,1160
19/03/2008,4.4,85.184,1095
20/03/2008,14.1,2803.221,298
21/03/2008,16.2,4251.528,1093
22/03/2008,11,1331,1437
23/03/2008,11.7,1601.613,1158
24/03/2008,6.9,328.509,682
25/03/2008,7.4,405.224,984
26/03/2008,8.2,551.368,1382
27/03/2008,9.4,830.584,1363
28/03/2008,15.1,3442.951,850
29/03/2008,11.8,1643.032,830
30/03/2008,7.8,474.552,880
31/03/2008,10.2,1061.208,1030
01/04/2008,17,4913,1403
02/04/2008,9.4,830.584,510
03/04/2008,5,125,1449
04/04/2008,7.4,405.224,863
05/04/2008,10.5,1157.625,1683
06/04/2008,11.7,1601.613,1591
07/04/2008,7.9,493.039,1508
08/04/2008,3.3,35.937,902
09/04/2008,5.2,140.608,1516
10/04/2008,9.1,753.571,1573
11/04/2008,9.8,941.192,1241
12/04/2008,6.9,328.509,1191
13/04/2008,5.5,166.375,1578
14/04/2008,4.8,110.592,1748
15/04/2008,3.3,35.937,2033
16/04/2008,12.3,1860.867,1838
17/04/2008,11.4,1481.544,1326
18/04/2008,12.9,2146.689,1300
19/04/2008,12.9,2146.689,508
20/04/2008,8.7,658.503,377
21/04/2008,5.4,157.464,604
22/04/2008,9.1,753.571,1150
23/04/2008,11,1331,1775
24/04/2008,10.7,1225.043,1742
25/04/2008,12.3,1860.867,826
26/04/2008,9,729,1590
27/04/2008,5.8,195.112,1574
28/04/2008,6.7,300.763,1387
29/04/2008,7.2,373.248,1357
30/04/2008,10.8,1259.712,1631
01/05/2008,7.9,493.039,2028
02/05/2008,10.4,1124.864,1689
03/05/2008,16.9,4826.809,1873
04/05/2008,9.7,912.673,2318
05/05/2008,7.9,493.039,2599
06/05/2008,10.8,1259.712,2231
07/05/2008,8.9,704.969,2490
08/05/2008,10.1,1030.301,1646
09/05/2008,5.3,148.877,973
10/05/2008,4.5,91.125,705
11/05/2008,3.4,39.304,1509
12/05/2008,4.3,79.507,1544
13/05/2008,8.4,592.704,2352
14/05/2008,8.8,681.472,2442
15/05/2008,7.1,357.911,2037
16/05/2008,3.6,46.656,1509
17/05/2008,5.3,148.877,1018
18/05/2008,5.7,185.193,1057
19/05/2008,8.5,614.125,1631
20/05/2008,11.7,1601.613,1361
21/05/2008,14.9,3307.949,1440
22/05/2008,9.6,884.736,1023
23/05/2008,8.1,531.441,1886
24/05/2008,12.6,2000.376,2361
25/05/2008,13.7,2571.353,2133
26/05/2008,16.2,4251.528,2271
27/05/2008,10.9,1295.029,546
28/05/2008,3.6,46.656,1314
29/05/2008,4.8,110.592,1904
30/05/2008,2.1,9.261,1069
31/05/2008,2.7,19.683,1487
01/06/2008,3.4,39.304,1802
02/06/2008,4.7,103.823,2096
03/06/2008,7.2,373.248,2554
04/06/2008,9.7,912.673,1291
05/06/2008,5.3,148.877,2190
06/06/2008,5.9,205.379,2157
07/06/2008,4.7,103.823,2458
08/06/2008,4.4,85.184,1367
09/06/2008,8.8,681.472,1413
10/06/2008,7.7,456.533,2711
11/06/2008,5,125,535
12/06/2008,6.6,287.496,1535
13/06/2008,6.1,226.981,1469
14/06/2008,5.5,166.375,1715
15/06/2008,4.5,91.125,1610
16/06/2008,5.4,157.464,1614
17/06/2008,9.6,884.736,1282
18/06/2008,6.9,328.509,892
19/06/2008,9.9,970.299,2197
20/06/2008,4.1,68.921,2563
21/06/2008,8.4,592.704,604
22/06/2008,16.4,4410.944,1767
23/06/2008,5.6,175.616,1613
24/06/2008,13.1,2248.091,780
25/06/2008,14.6,3112.136,2254
26/06/2008,9.4,830.584,799
27/06/2008,9.7,912.673,815
28/06/2008,9.5,857.375,1092
29/06/2008,10.6,1191.016,2101
30/06/2008,11.9,1685.159,1221
01/07/2008,15.7,3869.893,1493
02/07/2008,7,343,1462
03/07/2008,5,125,1600
04/07/2008,8,512,1530
05/07/2008,8.9,704.969,1495
06/07/2008,8.2,551.368,1209
07/07/2008,9,729,1317
08/07/2008,7.5,421.875,1981
09/07/2008,7.6,438.976,963
10/07/2008,8,512,807
11/07/2008,8.8,681.472,1202
12/07/2008,6.5,274.625,1490
13/07/2008,5.3,148.877,1538
14/07/2008,8,512,1198
15/07/2008,11.4,1481.544,1936
16/07/2008,9,729,1026
17/07/2008,9.4,830.584,979
18/07/2008,9.8,941.192,785
19/07/2008,9.5,857.375,2190
20/07/2008,7.4,405.224,1942
21/07/2008,6.9,328.509,1392
22/07/2008,6.1,226.981,1288
23/07/2008,6.3,250.047,1768
24/07/2008,7.9,493.039,1430
25/07/2008,4.5,91.125,713
26/07/2008,4.3,79.507,2130
27/07/2008,3.9,59.319,1883
28/07/2008,3.1,29.791,1031
29/07/2008,8.6,636.056,1684
30/07/2008,9,729,1980
31/07/2008,4.7,103.823,703
01/08/2008,9.3,804.357,1468
02/08/2008,8.2,551.368,1622
03/08/2008,9,729,1722
04/08/2008,4.7,103.823,1247
05/08/2008,6,216,1071
06/08/2008,5.2,140.608,707
07/08/2008,7.7,456.533,931
08/08/2008,5,125,1825
09/08/2008,10.4,1124.864,691
10/08/2008,13,2197,1530
11/08/2008,8.3,571.787,1283
