Date,glorad
19/09/2008,1063
20/09/2008,1525
21/09/2008,1340
22/09/2008,1572
23/09/2008,1468
24/09/2008,1370
25/09/2008,1203
26/09/2008,1053
27/09/2008,1401
28/09/2008,374
29/09/2008,704
30/09/2008,424
01/10/2008,1200
02/10/2008,996
03/10/2008,1164
04/10/2008,234
05/10/2008,1266
06/10/2008,452
07/10/2008,310
08/10/2008,1145
09/10/2008,389
10/10/2008,141
11/10/2008,554
12/10/2008,759
13/10/2008,813
14/10/2008,129
15/10/2008,564
16/10/2008,904
17/10/2008,761
18/10/2008,665
19/10/2008,254
20/10/2008,341
21/10/2008,915
22/10/2008,924
23/10/2008,102
24/10/2008,897
25/10/2008,91
26/10/2008,632
27/10/2008,805
28/10/2008,775
29/10/2008,181
30/10/2008,308
31/10/2008,629
01/11/2008,539
02/11/2008,665
03/11/2008,579
04/11/2008,64
05/11/2008,210
06/11/2008,161
07/11/2008,354
08/11/2008,180
09/11/2008,164
10/11/2008,499
11/11/2008,578
12/11/2008,583
13/11/2008,109
14/11/2008,359
15/11/2008,335
16/11/2008,158
17/11/2008,90
18/11/2008,365
19/11/2008,523
20/11/2008,168
21/11/2008,340
22/11/2008,156
23/11/2008,414
24/11/2008,230
25/11/2008,484
26/11/2008,347
27/11/2008,301
28/11/2008,465
29/11/2008,447
30/11/2008,440
01/12/2008,439
02/12/2008,115
03/12/2008,396
04/12/2008,322
05/12/2008,351
06/12/2008,392
07/12/2008,278
08/12/2008,54
09/12/2008,371
10/12/2008,382
11/12/2008,96
12/12/2008,66
13/12/2008,348
14/12/2008,242
15/12/2008,237
16/12/2008,68
17/12/2008,319
18/12/2008,156
19/12/2008,113
20/12/2008,259
21/12/2008,90
22/12/2008,153
23/12/2008,61
24/12/2008,80
25/12/2008,71
26/12/2008,138
27/12/2008,390
28/12/2008,384
29/12/2008,32
30/12/2008,193
31/12/2008,238
01/01/2009,159
02/01/2009,307
03/01/2009,297
04/01/2009,113
05/01/2009,278
06/01/2009,170
07/01/2009,426
08/01/2009,102
09/01/2009,140
10/01/2009,128
11/01/2009,31
12/01/2009,153
13/01/2009,400
14/01/2009,44
15/01/2009,174
16/01/2009,87
17/01/2009,92
18/01/2009,449
19/01/2009,401
20/01/2009,376
21/01/2009,93
22/01/2009,362
23/01/2009,516
24/01/2009,453
25/01/2009,282
26/01/2009,443
27/01/2009,187
28/01/2009,582
29/01/2009,77
30/01/2009,38
31/01/2009,50
01/02/2009,203
02/02/2009,399
03/02/2009,394
04/02/2009,216
05/02/2009,166
06/02/2009,708
07/02/2009,770
08/02/2009,447
09/02/2009,246
10/02/2009,746
11/02/2009,779
12/02/2009,338
13/02/2009,555
14/02/2009,218
15/02/2009,733
16/02/2009,449
17/02/2009,554
18/02/2009,199
19/02/2009,463
20/02/2009,905
21/02/2009,773
22/02/2009,865
23/02/2009,653
24/02/2009,182
25/02/2009,525
26/02/2009,582
27/02/2009,501
28/02/2009,336
01/03/2009,945
02/03/2009,415
03/03/2009,331
04/03/2009,880
