Date,wdsp,wdsp^3,glorad
26/02/2010,8.3,571.787,658
27/02/2010,4.3,79.507,859
28/02/2010,4.9,117.649,903
01/03/2010,2.3,12.167,1161
02/03/2010,7.1,357.911,735
03/03/2010,5.4,157.464,214
04/03/2010,4.7,103.823,1217
05/03/2010,2.4,13.824,1230
06/03/2010,2.8,21.952,609
07/03/2010,6.5,274.625,1345
08/03/2010,6.2,238.328,1396
09/03/2010,4.3,79.507,1357
10/03/2010,3.6,46.656,1163
11/03/2010,3,27,1195
12/03/2010,6.5,274.625,768
13/03/2010,4.4,85.184,591
14/03/2010,4.2,74.088,984
15/03/2010,4.1,68.921,1090
16/03/2010,9.4,830.584,433
17/03/2010,9.7,912.673,936
18/03/2010,15.3,3581.577,483
19/03/2010,5.8,195.112,863
20/03/2010,5.8,195.112,1125
21/03/2010,7.3,389.017,1088
22/03/2010,10.9,1295.029,1375
23/03/2010,9.5,857.375,553
24/03/2010,6.5,274.625,1583
25/03/2010,8.2,551.368,883
26/03/2010,3.9,59.319,1026
27/03/2010,7.4,405.224,1316
28/03/2010,3.9,59.319,1245
29/03/2010,11.3,1442.897,226
30/03/2010,15.7,3869.893,451
31/03/2010,12.2,1815.848,1585
01/04/2010,5.2,140.608,1852
02/04/2010,7.2,373.248,1042
03/04/2010,8.2,551.368,1053
04/04/2010,8.3,571.787,1012
05/04/2010,14.4,2985.984,669
06/04/2010,5.4,157.464,1122
07/04/2010,7.2,373.248,1638
08/04/2010,5.6,175.616,1282
09/04/2010,6.1,226.981,1724
10/04/2010,5.6,175.616,2124
11/04/2010,3.7,50.653,2080
12/04/2010,4.9,117.649,1954
13/04/2010,5,125,1920
14/04/2010,6.4,262.144,2029
15/04/2010,6.6,287.496,2200
16/04/2010,4,64,2193
17/04/2010,3.5,42.875,1560
18/04/2010,3.3,35.937,1352
19/04/2010,5.3,148.877,1871
20/04/2010,4.2,74.088,1503
21/04/2010,4.8,110.592,2176
22/04/2010,4.2,74.088,1676
23/04/2010,5.6,175.616,1773
24/04/2010,6.3,250.047,841
25/04/2010,8,512,1733
26/04/2010,5,125,1487
27/04/2010,9.9,970.299,561
28/04/2010,11.4,1481.544,946
29/04/2010,8,512,1951
30/04/2010,6.6,287.496,1698
01/05/2010,4,64,1443
02/05/2010,9.2,778.688,1931
03/05/2010,7.8,474.552,2179
04/05/2010,6,216,1331
05/05/2010,7.3,389.017,732
06/05/2010,9.8,941.192,1478
07/05/2010,8.2,551.368,1618
08/05/2010,7.8,474.552,2665
09/05/2010,6.1,226.981,2159
10/05/2010,8.3,571.787,1918
11/05/2010,5.2,140.608,1933
12/05/2010,5.1,132.651,2260
13/05/2010,7,343,1065
14/05/2010,7.9,493.039,2265
15/05/2010,8.5,614.125,1824
16/05/2010,5.5,166.375,2157
17/05/2010,3.7,50.653,1756
18/05/2010,6.7,300.763,544
19/05/2010,5.4,157.464,1131
20/05/2010,4.2,74.088,2098
21/05/2010,2.6,17.576,1371
22/05/2010,3.7,50.653,2255
23/05/2010,4.3,79.507,2903
24/05/2010,5.9,205.379,2381
25/05/2010,6.5,274.625,2918
26/05/2010,7,343,2753
27/05/2010,5.2,140.608,1264
28/05/2010,4.1,68.921,2171
29/05/2010,6.3,250.047,832
30/05/2010,3.5,42.875,1918
31/05/2010,6.3,250.047,1102
01/06/2010,7.5,421.875,2033
02/06/2010,3.5,42.875,2690
03/06/2010,8.1,531.441,1588
04/06/2010,6.8,314.432,2205
05/06/2010,4.7,103.823,2389
06/06/2010,5.7,185.193,2340
07/06/2010,7.7,456.533,889
08/06/2010,7.6,438.976,931
09/06/2010,8.7,658.503,769
10/06/2010,7.8,474.552,2465
11/06/2010,7.6,438.976,1715
12/06/2010,6.4,262.144,1939
13/06/2010,9.7,912.673,1946
14/06/2010,8,512,1982
15/06/2010,5.1,132.651,2747
16/06/2010,4.2,74.088,2044
17/06/2010,4.6,97.336,2032
18/06/2010,6.9,328.509,1344
19/06/2010,7.7,456.533,3067
20/06/2010,4.9,117.649,3111
21/06/2010,5.8,195.112,3030
22/06/2010,5.3,148.877,1592
23/06/2010,7.6,438.976,1260
24/06/2010,5.8,195.112,2190
25/06/2010,4.5,91.125,1575
26/06/2010,7.1,357.911,1913
27/06/2010,10.8,1259.712,2073
28/06/2010,5.5,166.375,1072
29/06/2010,2.7,19.683,2099
30/06/2010,8.4,592.704,1563
01/07/2010,10.6,1191.016,1720
02/07/2010,11.4,1481.544,2147
03/07/2010,9.8,941.192,1570
04/07/2010,13.6,2515.456,1749
05/07/2010,7.7,456.533,1970
06/07/2010,9.9,970.299,728
07/07/2010,13,2197,2204
08/07/2010,6.6,287.496,1222
09/07/2010,4.5,91.125,1201
10/07/2010,7.5,421.875,601
11/07/2010,5.8,195.112,1770
12/07/2010,3.2,32.768,1452
13/07/2010,7.2,373.248,722
14/07/2010,5.9,205.379,1559
15/07/2010,7,343,1306
16/07/2010,9,729,1442
17/07/2010,8.9,704.969,1631
