Date,wdsp,wdsp^3,glorad
08/10/2003,11.3,127.69,723
09/10/2003,10.7,114.49,290
10/10/2003,6.2,38.44,504
11/10/2003,3,9,369
12/10/2003,6.8,46.24,375
13/10/2003,5.4,29.16,176
14/10/2003,5.4,29.16,473
15/10/2003,5.6,31.36,808
16/10/2003,5.9,34.81,1003
17/10/2003,6,36,1007
18/10/2003,4.5,20.25,824
19/10/2003,5,25,409
20/10/2003,3.5,12.25,748
21/10/2003,5,25,838
22/10/2003,7.4,54.76,458
23/10/2003,3.3,10.89,814
24/10/2003,3.4,11.56,716
25/10/2003,5.6,31.36,416
26/10/2003,2.4,5.76,710
27/10/2003,3.9,15.21,482
28/10/2003,4.4,19.36,163
29/10/2003,6.1,37.21,441
30/10/2003,7.5,56.25,176
31/10/2003,10.4,108.16,430
01/11/2003,8.2,67.24,282
02/11/2003,8.9,79.21,512
03/11/2003,9.1,82.81,574
04/11/2003,12.4,153.76,204
05/11/2003,16.4,268.96,121
06/11/2003,7.6,57.76,614
07/11/2003,7.4,54.76,531
08/11/2003,9.7,94.09,115
09/11/2003,9.5,90.25,242
10/11/2003,6.5,42.25,556
11/11/2003,10.4,108.16,91
12/11/2003,6.2,38.44,471
13/11/2003,7.5,56.25,185
14/11/2003,12.1,146.41,152
15/11/2003,6,36,342
16/11/2003,4.5,20.25,456
17/11/2003,8.3,68.89,89
18/11/2003,13.4,179.56,61
19/11/2003,7.5,56.25,163
20/11/2003,5.5,30.25,415
21/11/2003,5,25,381
22/11/2003,5.9,34.81,433
23/11/2003,3.9,15.21,443
24/11/2003,7,49,147
25/11/2003,7.5,56.25,182
26/11/2003,8,64,272
27/11/2003,7.7,59.29,265
28/11/2003,8.1,65.61,97
29/11/2003,7.9,62.41,122
30/11/2003,4.7,22.09,364
01/12/2003,5.2,27.04,353
02/12/2003,6.6,43.56,83
03/12/2003,4.1,16.81,337
04/12/2003,1.9,3.61,193
05/12/2003,2.8,7.84,141
06/12/2003, ,#VALUE!, 
09/12/2003,8.9,79.21,182
10/12/2003,6.3,39.69,75
11/12/2003,4.3,18.49,321
12/12/2003,8.3,68.89,59
13/12/2003,11.2,125.44,131
14/12/2003,11.1,123.21,252
15/12/2003,2.5,6.25,246
16/12/2003,8.3,68.89,84
17/12/2003,6.5,42.25,275
18/12/2003,3.6,12.96,102
19/12/2003,2.3,5.29,301
20/12/2003,10.1,102.01,149
21/12/2003,10.3,106.09,225
22/12/2003,7.1,50.41,77
23/12/2003,9.8,96.04,83
24/12/2003,12.2,148.84,59
25/12/2003,9.7,94.09, 
28/12/2003, ,#VALUE!, 
29/12/2003, ,#VALUE!,259
30/12/2003, ,#VALUE!, 
01/01/2004,13,169,279
02/01/2004,3.9,15.21,108
03/01/2004,3.6,12.96,232
04/01/2004,3.9,15.21,114
05/01/2004,8.4,70.56,114
06/01/2004,9.4,88.36,270
07/01/2004,14.5,210.25,138
08/01/2004,8.4,70.56,219
09/01/2004,9.2,84.64,252
10/01/2004,11,121,142
11/01/2004,12.5,156.25,155
12/01/2004,8.8,77.44,272
13/01/2004,11.9,141.61,267
14/01/2004,9,81,270
15/01/2004,8,64,104
16/01/2004,7.2,51.84,297
17/01/2004,2.5,6.25,350
18/01/2004,6.4,40.96,182
19/01/2004,16,256,134
20/01/2004,7.7,59.29,162
21/01/2004,6.4,40.96,101
22/01/2004,4.5,20.25,196
23/01/2004,6.5,42.25,106
24/01/2004,8.6,73.96,431
