Date,wdsp,wdsp^3,glorad
13/08/2003, ,, 
14/08/2003,4.3,79.507,2022
15/08/2003,3.3,35.937,1529
16/08/2003,3.4,39.304,1852
17/08/2003,6.4,262.144,641
18/08/2003,6.8,314.432,1219
19/08/2003,7.5,421.875,1181
20/08/2003,4.9,117.649,889
21/08/2003,9.9,970.299,990
22/08/2003,7.3,389.017,658
23/08/2003,4,64,1332
24/08/2003,4.3,79.507,1759
25/08/2003,5.9,205.379,1408
26/08/2003,6.9,328.509,1071
27/08/2003,3.4,39.304,1273
28/08/2003,7.2,373.248,830
29/08/2003,7.2,373.248,1035
30/08/2003,5.1,132.651,1287
31/08/2003,4.6,97.336,928
01/09/2003, ,#VALUE!, 
02/09/2003,2.3,12.167,921
03/09/2003,3.6,46.656,1010
04/09/2003,6.5,274.625,1250
05/09/2003,3.7,50.653,437
06/09/2003,6.5,274.625,1586
07/09/2003,4.7,103.823,507
08/09/2003,6.4,262.144,1322
09/09/2003,7.5,421.875,554
10/09/2003,7.4,405.224,740
11/09/2003,9,729,1119
12/09/2003, ,#VALUE!, 
07/10/2003,7.5,421.875,537
08/10/2003,12.8,2097.152,780
09/10/2003,10.8,1259.712,746
10/10/2003,5.1,132.651,753
11/10/2003,4.5,91.125,494
12/10/2003,7.4,405.224,251
13/10/2003,5.7,185.193,483
14/10/2003,4.7,103.823,464
15/10/2003,5,125,938
16/10/2003,4.8,110.592,972
17/10/2003,5.7,185.193,936
18/10/2003,2.9,24.389,798
19/10/2003,5.2,140.608,294
20/10/2003,6,216,842
21/10/2003,4.8,110.592,650
22/10/2003, ,#VALUE!, 
24/10/2003,3.6,46.656,533
25/10/2003,5.6,175.616,620
26/10/2003,3.9,59.319,605
27/10/2003,2.2,10.648,751
28/10/2003,5.5,166.375,182
29/10/2003,7,343,597
30/10/2003,7.6,438.976,115
31/10/2003,9.7,912.673,234
01/11/2003,10.3,1092.727,384
02/11/2003,9.5,857.375,654
03/11/2003,9.4,830.584,603
04/11/2003,15.2,3511.808,191
05/11/2003,19,6859,373
06/11/2003,8.3,571.787,468
07/11/2003,8.8,681.472,587
08/11/2003,8.3,571.787,131
09/11/2003,10,1000,516
10/11/2003,6,216,483
11/11/2003,11.2,1404.928,86
12/11/2003, ,#VALUE!, 
18/11/2003,8.1,531.441,82
19/11/2003,7.2,373.248,100
20/11/2003,5.9,205.379,347
21/11/2003,2.9,24.389,431
22/11/2003,3.2,32.768,416
23/11/2003,2.2,10.648,401
24/11/2003,6.8,314.432,263
25/11/2003,7.2,373.248,184
26/11/2003,7.7,456.533,378
27/11/2003,6.5,274.625,360
28/11/2003,8.6,636.056,209
29/11/2003,8.8,681.472,250
30/11/2003,3.4,39.304,295
01/12/2003,8.7,658.503,216
02/12/2003,7,343,136
03/12/2003,6.4,262.144,54
04/12/2003,7.8,474.552,310
