Date,wdsp,wdsp^3,glorad
10/05/2006,4.9,24.01,2397
11/05/2006,4.7,22.09,1984
12/05/2006,4.1,16.81,1838
13/05/2006,5.6,31.36,1450
14/05/2006,5.9,34.81,566
15/05/2006,5.5,30.25,987
16/05/2006,8.7,75.69,1685
17/05/2006,11,121,584
18/05/2006,13.7,187.69,1468
19/05/2006,11.2,125.44,1233
20/05/2006,8,64,1576
21/05/2006,10.7,114.49,390
22/05/2006,10.3,106.09,1313
23/05/2006,10.8,116.64,1827
24/05/2006,8.9,79.21,2433
25/05/2006,3.9,15.21,1987
26/05/2006,12.6,158.76,1172
27/05/2006,12.2,148.84,1592
28/05/2006,8.5,72.25,1421
29/05/2006,10.8,116.64,2021
30/05/2006,8.8,77.44,2149
31/05/2006,4.3,18.49,2583
01/06/2006,5.7,32.49,2851
02/06/2006,3.8,14.44,2773
03/06/2006,2.6,6.76,2849
04/06/2006,5.9,34.81,2575
05/06/2006,5.8,33.64,2316
06/06/2006,3.9,15.21,2560
07/06/2006,3.2,10.24, 
08/06/2006,4.8,23.04, 
09/06/2006,9.1,82.81,2769
10/06/2006,10,100,1848
11/06/2006,9.5,90.25,2767
12/06/2006,10.8,116.64,2127
13/06/2006,5.5,30.25,1584
14/06/2006,2.7,7.29,1892
15/06/2006,4.2,17.64,2206
16/06/2006,4.4,19.36,1713
17/06/2006,4.6,21.16,1963
18/06/2006,8.2,67.24,854
19/06/2006,7.8,60.84,1147
20/06/2006,12,144,1094
21/06/2006,16.1,259.21,1690
22/06/2006,12,144,1484
23/06/2006,4.1,16.81,2370
24/06/2006,3.7,13.69,989
25/06/2006,7.5,56.25,2805
26/06/2006,6.5,42.25,474
27/06/2006,3.5,12.25,724
28/06/2006,7.4,54.76,2067
29/06/2006,8.8,77.44,868
30/06/2006,3.6,12.96,1877
01/07/2006,6.2,38.44,2380
02/07/2006,3.4,11.56,1416
03/07/2006,5.2,27.04,1715
04/07/2006,4.9,24.01,1782
05/07/2006,4.1,16.81,2200
06/07/2006,7.9,62.41,1229
07/07/2006,9.5,90.25,1606
08/07/2006,9.6,92.16,805
09/07/2006,11.6,134.56,1452
10/07/2006,8.2,67.24,1692
11/07/2006,8.3,68.89,1957
