Date,wdsp,wdsp^3,glorad
11/08/2003,4.6,97.336, 
12/08/2003,3.5,42.875, 
13/08/2003,3.5,42.875, 
14/08/2003,3.5,42.875, 
15/08/2003,2.4,13.824, 
16/08/2003,2.7,19.683, 
17/08/2003,4.5,91.125, 
18/08/2003,4.8,110.592, 
19/08/2003,4.5,91.125, 
20/08/2003,3.5,42.875, 
21/08/2003,6.8,314.432, 
22/08/2003,4.7,103.823, 
23/08/2003,2.5,15.625, 
24/08/2003,5.7,185.193, 
25/08/2003,6.4,262.144, 
26/08/2003,7.1,357.911, 
27/08/2003,4.5,91.125, 
28/08/2003,6.8,314.432, 
29/08/2003,7.3,389.017, 
30/08/2003,4.5,91.125, 
31/08/2003,4.2,74.088, 
01/09/2003, ,#VALUE!, 
02/09/2003,2.3,12.167, 
03/09/2003,2.3,12.167, 
04/09/2003,4.8,110.592, 
05/09/2003,2.9,24.389, 
06/09/2003,3.7,50.653, 
07/09/2003,3.1,29.791, 
08/09/2003,6.7,300.763, 
09/09/2003,4.2,74.088, 
10/09/2003,6.9,328.509, 
11/09/2003,6.7,300.763, 
12/09/2003, ,#VALUE!, 
07/10/2003,10,1000,591
08/10/2003,9,729,435
09/10/2003,7.4,405.224,595
10/10/2003,3.8,54.872,457
11/10/2003,3.7,50.653,463
12/10/2003,4.8,110.592,160
13/10/2003,3.6,46.656,418
14/10/2003,4.6,97.336,128
15/10/2003,8.1,531.441,312
16/10/2003,5.9,205.379,582
17/10/2003,6.3,250.047,951
18/10/2003,4.8,110.592,785
19/10/2003,5.2,140.608,576
20/10/2003,5.3,148.877,856
21/10/2003,3.8,54.872,708
22/10/2003,7.9,493.039,508
23/10/2003,4.4,85.184,655
24/10/2003,3.4,39.304,788
25/10/2003,5,125,635
26/10/2003,3.2,32.768,610
27/10/2003,1.2,1.728,680
28/10/2003,3,27,172
29/10/2003,5.8,195.112,710
30/10/2003,5,125,206
31/10/2003,10.1,1030.301,210
01/11/2003,6.4,262.144,328
02/11/2003,6.2,238.328,609
03/11/2003,7,343,553
04/11/2003,10.2,1061.208,252
05/11/2003,13.3,2352.637,94
06/11/2003,7.1,357.911,351
07/11/2003,9.2,778.688,530
08/11/2003,11.6,1560.896,241
09/11/2003,9.1,753.571,470
10/11/2003,4.1,68.921,439
