Date,wdsp,wdsp^3,glorad
27/01/2011,5,125,287
28/01/2011,2.4,13.824,234
29/01/2011,2.2,10.648,401
30/01/2011,5.3,148.877,210
31/01/2011,15.6,3796.416,259
01/02/2011,12.9,2146.689,472
02/02/2011,19.3,7189.057,285
03/02/2011,24.7,15069.223,208
04/02/2011,22.9,12008.989,99
05/02/2011,7.2,373.248,150
06/02/2011,4.5,91.125,308
07/02/2011,12.5,1953.125,444
08/02/2011,10.9,1295.029,276
09/02/2011,7.6,438.976,103
10/02/2011,6.8,314.432,663
11/02/2011,8.5,614.125,229
12/02/2011,9.6,884.736,377
13/02/2011,3.6,46.656,414
14/02/2011,8.5,614.125,626
15/02/2011,10.8,1259.712,209
16/02/2011,6,216,777
17/02/2011,4.8,110.592,599
18/02/2011,11.5,1520.875,214
19/02/2011,8.1,531.441,694
20/02/2011,13.1,2248.091,264
21/02/2011,5.3,148.877,701
22/02/2011,6.4,262.144,181
23/02/2011,12.7,2048.383,470
24/02/2011,14.2,2863.288,626
25/02/2011,14.3,2924.207,652
26/02/2011,12.2,1815.848,839
27/02/2011,11.2,1404.928,1015
28/02/2011,2.9,24.389,921
01/03/2011,5,125,1082
02/03/2011,4.8,110.592,643
03/03/2011,4.4,85.184,1016
04/03/2011,3.8,54.872,282
05/03/2011,4.6,97.336,552
06/03/2011,5.8,195.112,243
07/03/2011,4.6,97.336,474
08/03/2011,16.1,4173.281,444
09/03/2011,22.7,11697.083,697
10/03/2011,24.7,15069.223,775
11/03/2011,8.1,531.441,405
12/03/2011,5.1,132.651,506
13/03/2011,14.9,3307.949,649
14/03/2011,8.7,658.503,637
15/03/2011,4.4,85.184,1432
16/03/2011,7.4,405.224,1466
17/03/2011,9.5,857.375,1047
18/03/2011,7.2,373.248,958
19/03/2011,9.4,830.584,878
20/03/2011,9.9,970.299,742
21/03/2011,9.2,778.688,968
22/03/2011,4.8,110.592,454
23/03/2011,4.4,85.184,1161
24/03/2011,5.3,148.877,1540
25/03/2011,6.3,250.047,1511
26/03/2011,3.9,59.319,1122
27/03/2011,4.6,97.336,1493
28/03/2011,5.4,157.464,991
29/03/2011,5.9,205.379,346
30/03/2011,10.4,1124.864,1351
31/03/2011,16.2,4251.528,1257
01/04/2011,16.3,4330.747,534
02/04/2011,8.9,704.969,1430
03/04/2011,12.1,1771.561,1457
04/04/2011,18.8,6644.672,1196
05/04/2011,15.4,3652.264,435
06/04/2011,15.1,3442.951,573
07/04/2011,7.7,456.533,1970
08/04/2011,5,125,1737
09/04/2011,9.3,804.357,1271
10/04/2011,6.5,274.625,1019
11/04/2011,15.6,3796.416,1776
12/04/2011,12.8,2097.152,1529
13/04/2011,10,1000,1032
14/04/2011,6.2,238.328,1318
15/04/2011,5.5,166.375,834
16/04/2011,6.4,262.144,1293
17/04/2011,5,125,1658
18/04/2011,8.2,551.368,1840
