date,wdsp,wdsp^3,glorad
19/09/2008,0.1,0.001,1063
20/09/2008,0.1,0.001,1525
21/09/2008,0.1,0.001,1340
22/09/2008,0.1,0.001,1572
23/09/2008,0.1,0.001,1468
24/09/2008,0.1,0.001,1370
25/09/2008,0.1,0.001,1203
26/09/2008,0.1,0.001,1053
27/09/2008,0.1,0.001,1401
28/09/2008,0.1,0.001,374
29/09/2008,0.1,0.001,704
30/09/2008,0.1,0.001,424
01/10/2008,0.1,0.001,1200
02/10/2008,0.1,0.001,996
03/10/2008,0.1,0.001,1164
04/10/2008,0.1,0.001,234
05/10/2008,0.1,0.001,1266
06/10/2008,0.1,0.001,452
07/10/2008,0.1,0.001,310
08/10/2008,0.1,0.001,1145
09/10/2008,0.1,0.001,389
10/10/2008,0.1,0.001,141
11/10/2008,0.1,0.001,554
12/10/2008,0.1,0.001,759
13/10/2008,0.1,0.001,813
14/10/2008,0.1,0.001,129
15/10/2008,0.1,0.001,564
16/10/2008,0.1,0.001,904
17/10/2008,0.1,0.001,761
18/10/2008,0.1,0.001,665
19/10/2008,0.1,0.001,254
20/10/2008,0.1,0.001,341
21/10/2008,0.1,0.001,915
22/10/2008,0.1,0.001,924
23/10/2008,0.1,0.001,102
24/10/2008,0.1,0.001,897
25/10/2008,0.1,0.001,91
26/10/2008,0.1,0.001,632
27/10/2008,0.1,0.001,805
28/10/2008,0.1,0.001,775
29/10/2008,0.1,0.001,181
30/10/2008,0.1,0.001,308
31/10/2008,0.1,0.001,629
01/11/2008, ,#VALUE!,539
02/11/2008, ,#VALUE!,665
03/11/2008, ,#VALUE!,579
04/11/2008, ,#VALUE!,64
05/11/2008, ,#VALUE!,210
06/11/2008, ,#VALUE!,161
07/11/2008, ,#VALUE!,354
08/11/2008, ,#VALUE!,180
09/11/2008, ,#VALUE!,164
10/11/2008, ,#VALUE!,499
11/11/2008, ,#VALUE!,578
12/11/2008, ,#VALUE!,583
13/11/2008, ,#VALUE!,109
14/11/2008, ,#VALUE!,359
15/11/2008, ,#VALUE!,335
16/11/2008, ,#VALUE!,158
17/11/2008, ,#VALUE!,90
18/11/2008, ,#VALUE!,365
19/11/2008, ,#VALUE!,523
20/11/2008, ,#VALUE!,168
21/11/2008, ,#VALUE!,340
22/11/2008, ,#VALUE!,156
23/11/2008, ,#VALUE!,414
24/11/2008, ,#VALUE!,230
25/11/2008, ,#VALUE!,484
26/11/2008, ,#VALUE!,347
27/11/2008, ,#VALUE!,301
28/11/2008, ,#VALUE!,465
29/11/2008, ,#VALUE!,447
30/11/2008, ,#VALUE!,440
01/12/2008,0.1,0.001,439
02/12/2008,0.1,0.001,115
03/12/2008,0.1,0.001,396
04/12/2008,0.1,0.001,322
05/12/2008,0.1,0.001,351
06/12/2008,0.1,0.001,392
07/12/2008,0.1,0.001,278
08/12/2008,0.1,0.001,54
09/12/2008,0.1,0.001,371
10/12/2008,0.1,0.001,382
11/12/2008,0.1,0.001,96
12/12/2008,0.1,0.001,66
13/12/2008,0.1,0.001,348
14/12/2008,0.1,0.001,242
15/12/2008,0.1,0.001,237
16/12/2008,0.1,0.001,68
17/12/2008,0.1,0.001,319
18/12/2008,0.1,0.001,156
19/12/2008,0.1,0.001,113
20/12/2008,0.1,0.001,259
21/12/2008,0.1,0.001,90
22/12/2008,0.1,0.001,153
23/12/2008,0.1,0.001,61
24/12/2008,0.1,0.001,80
25/12/2008,0.1,0.001,71
26/12/2008,0.1,0.001,138
27/12/2008,0.1,0.001,390
28/12/2008,0.1,0.001,384
29/12/2008,0.1,0.001,32
30/12/2008,0.1,0.001,193
31/12/2008,0.1,0.001,238
01/01/2009,0.1,0.001,159
02/01/2009,0.1,0.001,307
03/01/2009,0.1,0.001,297
04/01/2009,0.1,0.001,113
05/01/2009,0.1,0.001,278
06/01/2009,0.1,0.001,170
07/01/2009,0.1,0.001,426
08/01/2009,0.1,0.001,102
09/01/2009,0.1,0.001,140
10/01/2009,0.1,0.001,128
11/01/2009,0.1,0.001,31
12/01/2009,0.1,0.001,153
13/01/2009,0.1,0.001,400
14/01/2009,0.1,0.001,44
15/01/2009,0.1,0.001,174
16/01/2009,0.1,0.001,87
17/01/2009,0.1,0.001,92
18/01/2009,0.1,0.001,449
19/01/2009,0.1,0.001,401
20/01/2009,0.1,0.001,376
21/01/2009,0.1,0.001,93
22/01/2009,0.1,0.001,362
23/01/2009,0.1,0.001,516
24/01/2009,0.1,0.001,453
25/01/2009,0.1,0.001,282
26/01/2009,0.1,0.001,443
27/01/2009,0.1,0.001,187
28/01/2009,0.1,0.001,582
29/01/2009,0.1,0.001,77
30/01/2009,0.1,0.001,38
31/01/2009,0.1,0.001,50
01/02/2009,0.1,0.001,203
02/02/2009,0.1,0.001,399
03/02/2009,0.1,0.001,394
04/02/2009,0.1,0.001,216
05/02/2009,0.1,0.001,166
06/02/2009,0.1,0.001,708
07/02/2009,0.1,0.001,770
08/02/2009,0.1,0.001,447
09/02/2009,0.1,0.001,246
