date,wdsp,wdsp^3,glorad
14/08/2003,6.7,300.763,2432
15/08/2003,6.5,274.625,2284
16/08/2003,5.7,185.193,2084
17/08/2003,16.9,4826.809,954
18/08/2003,18.5,6331.625,1225
19/08/2003,15.1,3442.951,1211
20/08/2003,13.9,2685.619,1242
21/08/2003,20.6,8741.816,446
22/08/2003,9.9,970.299,679
23/08/2003,7,343,982
24/08/2003,12.8,2097.152,1648
25/08/2003,14.8,3241.792,1074
26/08/2003,14.4,2985.984,1144
27/08/2003,12.5,1953.125,1919
28/08/2003,10.3,1092.727,1331
29/08/2003,9.9,970.299,1931
30/08/2003,9.1,753.571,1741
31/08/2003,8.8,681.472,1137
01/09/2003, ,#VALUE!, 
02/09/2003,6.6,287.496,1726
03/09/2003,5.3,148.877,1357
04/09/2003,13.5,2460.375,1168
05/09/2003,10.2,1061.208,1196
06/09/2003,13.2,2299.968,1766
07/09/2003,11.3,1442.897,1256
08/09/2003,10.9,1295.029,1667
09/09/2003,17.1,5000.211,553
10/09/2003,14.1,2803.221,900
11/09/2003,19.4,7301.384,1461
12/09/2003, ,#VALUE!, 
07/10/2003,18.2,6028.568,390
08/10/2003,20.8,8998.912,692
09/10/2003,20.4,8489.664,343
10/10/2003,10.3,1092.727,841
11/10/2003,11.1,1367.631,515
12/10/2003,12.6,2000.376,194
13/10/2003,9.9,970.299,1029
14/10/2003,12.8,2097.152,789
15/10/2003,13.5,2460.375,384
16/10/2003,12.7,2048.383,376
17/10/2003,14.8,3241.792,1037
18/10/2003,12.9,2146.689,793
19/10/2003,11.9,1685.159,735
20/10/2003,8.9,704.969,932
21/10/2003,8.4,592.704,753
22/10/2003,10.6,1191.016,970
23/10/2003,7.9,493.039,921
24/10/2003,7.7,456.533,842
25/10/2003,10.7,1225.043,465
26/10/2003,6.3,250.047,718
27/10/2003,7.1,357.911,596
28/10/2003,12.1,1771.561,399
01/11/2003,18,5832,150
02/11/2003,23.3,12649.337,515
03/11/2003,21.5,9938.375,540
04/11/2003,26.1,17779.581,97
05/11/2003,22.9,12008.989,71
06/11/2003,17.9,5735.339,492
07/11/2003,16.5,4492.125,192
08/11/2003,20.5,8615.125,361
09/11/2003,20.3,8365.427,351
10/11/2003,15.3,3581.577,433
11/11/2003,19.1,6967.871,77
12/11/2003,18.9,6751.269,267
13/11/2003,17.6,5451.776,138
14/11/2003,30,27000,176
15/11/2003,12.7,2048.383,298
16/11/2003,10.3,1092.727,341
17/11/2003,16.6,4574.296,134
18/11/2003,23.1,12326.391,86
19/11/2003,11.5,1520.875,147
20/11/2003,16.1,4173.281,414
21/11/2003,10.5,1157.625,315
22/11/2003,11.1,1367.631,351
23/11/2003,10.4,1124.864,445
24/11/2003,19.2,7077.888,147
25/11/2003,18.7,6539.203,168
26/11/2003,17.4,5268.024,332
27/11/2003,15.8,3944.312,259
28/11/2003,18.3,6128.487,167
29/11/2003,16.4,4410.944,338
30/11/2003,12.1,1771.561,303
01/12/2003,10.1,1030.301,450
02/12/2003,8.6,636.056,93
03/12/2003,7.3,389.017,355
04/12/2003,2.9,24.389,391
05/12/2003,3.3,35.937,318
06/12/2003, ,#VALUE!, 
10/12/2003,15.2,3511.808,75
11/12/2003,8.1,531.441,246
12/12/2003,16.4,4410.944,39
13/12/2003,24.8,15252.992,189
14/12/2003,16.7,4657.463,196
15/12/2003,10.5,1157.625,220
16/12/2003,13.9,2685.619,79
17/12/2003,12.8,2097.152,231
18/12/2003,10.4,1124.864,50
19/12/2003,7.3,389.017,92
20/12/2003,22.1,10793.861,212
21/12/2003,19.7,7645.373,247
22/12/2003,12.9,2146.689,97
23/12/2003,18.4,6229.504,100
24/12/2003,20.6,8741.816,106
25/12/2003,18.7,6539.203, 
31/12/2003,21.9,10503.459,17
01/01/2004,23.9,13651.919,153
02/01/2004,9.1,753.571,63
03/01/2004,6.4,262.144,227
04/01/2004,12.2,1815.848,39
05/01/2004,18.3,6128.487,183
06/01/2004,20.2,8242.408,212
07/01/2004,20.3,8365.427,65
08/01/2004,19.8,7762.392,222
09/01/2004,25.3,16194.277,267
10/01/2004,21.3,9663.597,230
11/01/2004,32.4,34012.224,232
12/01/2004,23.8,13481.272,302
13/01/2004,26.2,17984.728,249
14/01/2004,21.6,10077.696,147
15/01/2004,23.6,13144.256,197
16/01/2004,13.5,2460.375,352
17/01/2004,5.2,140.608,461
18/01/2004,14.3,2924.207,161
19/01/2004,18,5832,118
