date,wdsp,wdsp^3,glorad
08/09/2004,6.7,300.763,1785
09/09/2004,6.4,262.144,1669
10/09/2004,6.3,250.047,382
11/09/2004,14.3,2924.207,1241
12/09/2004,13.2,2299.968,348
13/09/2004,14.6,3112.136,804
14/09/2004,14.3,2924.207,1383
15/09/2004,6.9,328.509,1259
16/09/2004,13,2197,397
17/09/2004,12.4,1906.624,881
18/09/2004,11.2,1404.928,1379
19/09/2004,13.2,2299.968,412
20/09/2004,15.4,3652.264,873
21/09/2004,12.7,2048.383,1037
22/09/2004,13.5,2460.375,410
23/09/2004,10.7,1225.043,1311
24/09/2004,4.6,97.336,843
25/09/2004,8.9,704.969,907
26/09/2004,11.2,1404.928,477
27/09/2004,8.6,636.056,407
28/09/2004,7.1,357.911,676
29/09/2004,6.7,300.763,327
30/09/2004,7,343,1009
01/10/2004,11.6,1560.896,722
02/10/2004,12.4,1906.624,1050
03/10/2004,7.1,357.911,266
04/10/2004,12,1728,951
05/10/2004,13.2,2299.968,971
06/10/2004,11.4,1481.544,948
07/10/2004,6.2,238.328,885
08/10/2004,5.9,205.379,858
09/10/2004,8.1,531.441,757
10/10/2004,8.7,658.503,324
11/10/2004,5.2,140.608,380
12/10/2004,3.6,46.656,683
13/10/2004,4.6,97.336,778
14/10/2004,7.5,421.875,572
15/10/2004,6.2,238.328,882
16/10/2004,8,512,348
17/10/2004,8.8,681.472,648
18/10/2004,8.4,592.704,901
19/10/2004,6.8,314.432,730
20/10/2004,5.6,175.616,170
21/10/2004,8.5,614.125,510
22/10/2004,4.7,103.823,240
23/10/2004,5.9,205.379,550
24/10/2004,9.1,753.571,488
25/10/2004,11.5,1520.875,693
26/10/2004,7,343,417
27/10/2004,15.7,3869.893,161
28/10/2004,14.7,3176.523,528
29/10/2004,10,1000,171
30/10/2004,5.8,195.112,505
31/10/2004,2,8,249
01/11/2004,3.4,39.304,261
02/11/2004,5.7,185.193,274
03/11/2004,5.9,205.379,416
04/11/2004,9,729,361
05/11/2004,8,512,274
06/11/2004,9.2,778.688,347
07/11/2004,6.2,238.328,155
08/11/2004,6.4,262.144,282
09/11/2004,10.3,1092.727,452
10/11/2004,7.8,474.552,460
11/11/2004,7.9,493.039,198
12/11/2004,11.5,1520.875,363
13/11/2004,5.8,195.112,544
14/11/2004,7.6,438.976,137
15/11/2004,8.7,658.503,256
16/11/2004,10.8,1259.712,128
17/11/2004,12.5,1953.125,121
18/11/2004,5.9,205.379,76
19/11/2004,4,64,349
20/11/2004,7.8,474.552,52
21/11/2004,10.1,1030.301,157
22/11/2004,11.5,1520.875,223
23/11/2004,5,125,78
24/11/2004,7.2,373.248,202
25/11/2004,7.7,456.533,51
26/11/2004,4.8,110.592,252
27/11/2004,6.8,314.432,119
28/11/2004,6.8,314.432,370
29/11/2004,6.6,287.496,210
30/11/2004,6.4,262.144,169
01/12/2004,3.7,50.653,253
02/12/2004,3.8,54.872,203
03/12/2004,6.7,300.763,129
04/12/2004,10,1000,152
05/12/2004,7.9,493.039,112
06/12/2004,9.8,941.192,44
07/12/2004,3.8,54.872,188
08/12/2004,10.2,1061.208,108
09/12/2004,10.9,1295.029,81
10/12/2004,5.7,185.193,297
11/12/2004,4.1,68.921,129
12/12/2004,8,512,41
13/12/2004,9.8,941.192,202
14/12/2004,17.6,5451.776,28
15/12/2004,8.6,636.056,289
16/12/2004,15.9,4019.679,226
17/12/2004,10.8,1259.712,236
18/12/2004,8.3,571.787,49
19/12/2004,5.1,132.651,263
20/12/2004,8.8,681.472,253
21/12/2004,9.1,753.571,265
22/12/2004,16.9,4826.809,89
23/12/2004,18.1,5929.741,97
24/12/2004,12.4,1906.624,124
25/12/2004,9.4,830.584,142
26/12/2004,6.4,262.144,275
27/12/2004,12.4,1906.624,33
28/12/2004,11.6,1560.896,251
29/12/2004, ,#VALUE!, 
30/12/2004,15.1,3442.951,58
31/12/2004,6.8,314.432,149
01/01/2005,14.6,3112.136,116
02/01/2005,12.1,1771.561,283
03/01/2005,12.9,2146.689,109
04/01/2005,13.5,2460.375,297
05/01/2005,13.5,2460.375,125
06/01/2005,16.3,4330.747,76
07/01/2005,12.6,2000.376,52
08/01/2005,19.1,6967.871,301
09/01/2005,16.2,4251.528,53
10/01/2005,13.9,2685.619,267
11/01/2005,20.1,8120.601,203
12/01/2005,15.3,3581.577,324
13/01/2005,7.5,421.875,368
14/01/2005,12.1,1771.561,56
15/01/2005,12.7,2048.383,80
16/01/2005,11.3,1442.897,289
17/01/2005,13.2,2299.968,208
18/01/2005,16.1,4173.281,266
19/01/2005,15.7,3869.893,129
20/01/2005,18.5,6331.625,82
21/01/2005,5.6,175.616,107
22/01/2005,9.5,857.375,59
23/01/2005,6.2,238.328,449
24/01/2005,6.5,274.625,208
25/01/2005,7.7,456.533,163
26/01/2005,7.4,405.224,127
27/01/2005,8.3,571.787,158
28/01/2005,11,1331,367
29/01/2005,5.8,195.112,223
30/01/2005,7.7,456.533,233
31/01/2005,9.7,912.673,293
01/02/2005,7.9,493.039,198
02/02/2005,6.4,262.144,327
03/02/2005,8,512,147
04/02/2005,11.7,1601.613,152
05/02/2005,5.1,132.651,618
06/02/2005,5.3,148.877,473
07/02/2005,8.2,551.368,470
08/02/2005,9.8,941.192,460
09/02/2005,16.2,4251.528,204
10/02/2005,6.5,274.625,618
11/02/2005,9.2,778.688,141
12/02/2005,18.5,6331.625,564
13/02/2005,17.3,5177.717,723
14/02/2005,7.3,389.017,340
15/02/2005,2.5,15.625,688
16/02/2005,5.7,185.193,339
17/02/2005,5.6,175.616,530
18/02/2005,11,1331,503
19/02/2005,8.3,571.787,528
20/02/2005,6.8,314.432,464
21/02/2005,7.7,456.533,249
22/02/2005,9.7,912.673,687
23/02/2005,6.3,250.047,777
24/02/2005,9.3,804.357,614
25/02/2005,9,729,402
26/02/2005,7.1,357.911,668
27/02/2005,5.1,132.651,485
