date,wdsp,wdsp^3,glorad
08/11/1973,17.6,5451.776, 
09/11/1973,14.8,3241.792, 
10/11/1973,10.4,1124.864, 
11/11/1973,9.3,804.357, 
12/11/1973,20,8000, 
13/11/1973,14.1,2803.221, 
14/11/1973,9,729, 
15/11/1973,9,729, 
16/11/1973,6,216, 
17/11/1973,6.5,274.625, 
18/11/1973,13,2197, 
19/11/1973,4.7,103.823, 
20/11/1973,2.1,9.261, 
21/11/1973,5.1,132.651, 
22/11/1973,5.1,132.651, 
23/11/1973,8.6,636.056, 
24/11/1973,13.1,2248.091, 
25/11/1973,5.4,157.464, 
26/11/1973,5.6,175.616, 
27/11/1973,5.3,148.877, 
28/11/1973,9,729, 
29/11/1973,3.9,59.319, 
30/11/1973,7.8,474.552, 
01/12/1973,6,216, 
02/12/1973,5.8,195.112, 
03/12/1973,10.8,1259.712, 
04/12/1973,9.8,941.192, 
05/12/1973,8.9,704.969, 
06/12/1973,8.2,551.368, 
07/12/1973,10.2,1061.208, 
08/12/1973,8.2,551.368, 
09/12/1973,9.6,884.736, 
10/12/1973,14.4,2985.984, 
11/12/1973,9,729, 
12/12/1973,14.8,3241.792, 
13/12/1973,17,4913, 
14/12/1973,11.8,1643.032, 
15/12/1973,11,1331, 
16/12/1973,13.2,2299.968, 
17/12/1973,10.3,1092.727, 
18/12/1973,7.6,438.976, 
19/12/1973,14.2,2863.288, 
20/12/1973,5.1,132.651, 
21/12/1973,4.8,110.592, 
22/12/1973,5.2,140.608, 
23/12/1973,4.2,74.088, 
24/12/1973,5.2,140.608, 
25/12/1973,9.5,857.375, 
26/12/1973,9.4,830.584, 
27/12/1973,11.6,1560.896, 
28/12/1973,7.9,493.039, 
29/12/1973,15.8,3944.312, 
30/12/1973,5.6,175.616, 
31/12/1973,4.8,110.592, 
01/01/1974,13.8,2628.072, 
02/01/1974,19.8,7762.392, 
03/01/1974,17.8,5639.752, 
04/01/1974,18.3,6128.487, 
05/01/1974,16.7,4657.463, 
06/01/1974,11.4,1481.544, 
07/01/1974,11.9,1685.159, 
08/01/1974,15,3375, 
09/01/1974,7.5,421.875, 
10/01/1974,20,8000, 
11/01/1974,19.3,7189.057, 
12/01/1974,20.6,8741.816, 
13/01/1974,12.8,2097.152, 
14/01/1974,12.6,2000.376, 
15/01/1974,15.3,3581.577, 
16/01/1974,13.8,2628.072, 
17/01/1974,18,5832, 
18/01/1974,18,5832, 
19/01/1974,13.9,2685.619, 
20/01/1974,13,2197, 
21/01/1974,7.1,357.911, 
22/01/1974,13,2197, 
23/01/1974,14.1,2803.221, 
24/01/1974,10.4,1124.864, 
25/01/1974,13.4,2406.104, 
26/01/1974,16.8,4741.632, 
27/01/1974,14.8,3241.792, 
28/01/1974,19.2,7077.888, 
29/01/1974,15.2,3511.808, 
30/01/1974,11.1,1367.631, 
31/01/1974,15.6,3796.416, 
01/02/1974,16.1,4173.281, 
02/02/1974,13.6,2515.456, 
03/02/1974,10.5,1157.625, 
04/02/1974,8.5,614.125, 
05/02/1974,8.4,592.704, 
06/02/1974,10.5,1157.625, 
07/02/1974,6.5,274.625, 
08/02/1974,14.8,3241.792, 
09/02/1974,13.4,2406.104, 
10/02/1974,20,8000, 
11/02/1974,9.1,753.571, 
12/02/1974,8.7,658.503, 
13/02/1974,6.6,287.496, 
14/02/1974,13.5,2460.375, 
15/02/1974,11.5,1520.875, 
16/02/1974,13.7,2571.353, 
17/02/1974,5.6,175.616, 
18/02/1974,5.6,175.616, 
19/02/1974,5.7,185.193, 
20/02/1974,8.5,614.125, 
21/02/1974,11.8,1643.032, 
22/02/1974,10.7,1225.043, 
23/02/1974,4.4,85.184, 
24/02/1974,3.5,42.875, 
25/02/1974,2.9,24.389, 
26/02/1974,1.3,2.197, 
27/02/1974,3.7,50.653, 
28/02/1974,12.6,2000.376, 
01/03/1974,8.6,636.056, 
02/03/1974,4.3,79.507, 
03/03/1974,6.7,300.763, 
04/03/1974,6.8,314.432, 
05/03/1974,5.2,140.608, 
06/03/1974,12.7,2048.383, 
07/03/1974,14.5,3048.625, 
08/03/1974,11.8,1643.032, 
09/03/1974,8.5,614.125, 
10/03/1974,9.6,884.736, 
11/03/1974,8.5,614.125, 
12/03/1974,5.2,140.608, 
13/03/1974,3.2,32.768, 
14/03/1974,8.3,571.787, 
15/03/1974,12.1,1771.561, 
16/03/1974,16,4096, 
17/03/1974,14.8,3241.792, 
18/03/1974,12.1,1771.561, 
19/03/1974,9.2,778.688, 
20/03/1974,5.1,132.651, 
21/03/1974,9.4,830.584, 
22/03/1974,11.1,1367.631, 
23/03/1974,15,3375, 
24/03/1974,11.9,1685.159, 
25/03/1974,6.1,226.981, 
26/03/1974,3.1,29.791, 
27/03/1974,1.3,2.197, 
28/03/1974,5,125, 
29/03/1974,2.8,21.952, 
30/03/1974,3.9,59.319, 
31/03/1974,10.6,1191.016, 
01/04/1974,9.2,778.688, 
02/04/1974,10.2,1061.208, 
03/04/1974,5.6,175.616, 
04/04/1974,8.4,592.704, 
05/04/1974,7.9,493.039, 
06/04/1974,7.8,474.552, 
07/04/1974,7.8,474.552, 
08/04/1974,8.4,592.704, 
09/04/1974,7.2,373.248, 
10/04/1974,3.8,54.872, 
11/04/1974,8.5,614.125, 
12/04/1974,12.8,2097.152, 
13/04/1974,7.3,389.017, 
14/04/1974,7.2,373.248, 
15/04/1974,4,64, 
16/04/1974,4.2,74.088, 
17/04/1974,3.2,32.768, 
18/04/1974,3.5,42.875, 
19/04/1974,4,64, 
20/04/1974,2.8,21.952, 
21/04/1974,1.6,4.096, 
22/04/1974,4,64, 
23/04/1974,3.5,42.875, 
24/04/1974,2.8,21.952, 
25/04/1974,2.6,17.576, 
26/04/1974,6,216, 
27/04/1974,7.3,389.017, 
28/04/1974,7.5,421.875, 
29/04/1974,4.7,103.823, 
30/04/1974,9.8,941.192, 
01/05/1974,10.6,1191.016, 
02/05/1974,4.7,103.823, 
03/05/1974,10.4,1124.864, 
04/05/1974,8.6,636.056, 
