date,wdsp,wdsp^3,glorad
01/12/1955,11.5,1520.875, 
02/12/1955,12.1,1771.561, 
03/12/1955,8,512, 
04/12/1955,6.3,250.047, 
05/12/1955,16.5,4492.125, 
06/12/1955,13,2197, 
07/12/1955,10.8,1259.712, 
08/12/1955,10.2,1061.208, 
09/12/1955,16.8,4741.632, 
10/12/1955,12.5,1953.125, 
11/12/1955,19.8,7762.392, 
12/12/1955,27.4,20570.824, 
13/12/1955,22.1,10793.861, 
14/12/1955,9.7,912.673, 
15/12/1955,12.2,1815.848, 
16/12/1955,12,1728, 
17/12/1955,4.5,91.125, 
18/12/1955,12.4,1906.624, 
19/12/1955,15.6,3796.416, 
20/12/1955,8.5,614.125, 
21/12/1955,10.1,1030.301, 
22/12/1955,17,4913, 
23/12/1955,17.6,5451.776, 
24/12/1955,13.8,2628.072, 
25/12/1955,22.4,11239.424, 
26/12/1955,21.7,10218.313, 
27/12/1955,22,10648, 
28/12/1955,26.5,18609.625, 
29/12/1955,14.9,3307.949, 
30/12/1955,17.8,5639.752, 
31/12/1955,12,1728, 
01/01/1956,31.5,31255.875, 
02/01/1956,10.7,1225.043, 
03/01/1956,1.4,2.744, 
04/01/1956,9,729, 
05/01/1956,8.3,571.787, 
06/01/1956,7.4,405.224, 
07/01/1956,9.7,912.673, 
08/01/1956,16.2,4251.528, 
09/01/1956,13.9,2685.619, 
10/01/1956,12.2,1815.848, 
11/01/1956,10.2,1061.208, 
12/01/1956,5.9,205.379, 
13/01/1956,12.5,1953.125, 
14/01/1956,14.5,3048.625, 
15/01/1956,9.1,753.571, 
16/01/1956,4.8,110.592, 
17/01/1956,6.5,274.625, 
18/01/1956,11.3,1442.897, 
19/01/1956,13.2,2299.968, 
20/01/1956,20.5,8615.125, 
21/01/1956,18.2,6028.568, 
22/01/1956,12.5,1953.125, 
23/01/1956,12.4,1906.624, 
24/01/1956,6.6,287.496, 
25/01/1956,12.2,1815.848, 
26/01/1956,14.3,2924.207, 
27/01/1956,9.7,912.673, 
28/01/1956,10.9,1295.029, 
29/01/1956,9.5,857.375, 
30/01/1956,8.5,614.125, 
31/01/1956,11.7,1601.613, 
01/02/1956,10.5,1157.625, 
02/02/1956,18.3,6128.487, 
03/02/1956,24.9,15438.249, 
04/02/1956,14.2,2863.288, 
05/02/1956,6.7,300.763, 
06/02/1956,4.5,91.125, 
07/02/1956,4,64, 
08/02/1956,5.2,140.608, 
09/02/1956,11.1,1367.631, 
10/02/1956,10.7,1225.043, 
11/02/1956,12.5,1953.125, 
12/02/1956,13,2197, 
13/02/1956,18.6,6434.856, 
14/02/1956,12.9,2146.689, 
15/02/1956,5.5,166.375, 
16/02/1956,10.6,1191.016, 
17/02/1956,4.3,79.507, 
18/02/1956,7.3,389.017, 
19/02/1956,13.8,2628.072, 
20/02/1956,15.4,3652.264, 
21/02/1956,12.7,2048.383, 
22/02/1956,10.9,1295.029, 
23/02/1956,11.9,1685.159, 
24/02/1956,12.5,1953.125, 
25/02/1956,9.4,830.584, 
26/02/1956,6,216, 
27/02/1956,12,1728, 
28/02/1956,10.5,1157.625, 
29/02/1956,22.3,11089.567, 
01/03/1956,17.9,5735.339, 
02/03/1956,21,9261, 
03/03/1956,24.5,14706.125, 
04/03/1956,15.2,3511.808, 
05/03/1956,8.3,571.787, 
06/03/1956,12,1728, 
07/03/1956,4.7,103.823, 
08/03/1956,17.3,5177.717, 
09/03/1956,19.8,7762.392, 
10/03/1956,13.8,2628.072, 
11/03/1956,13.8,2628.072, 
12/03/1956,16.1,4173.281, 
13/03/1956,14.2,2863.288, 
14/03/1956,17.2,5088.448, 
15/03/1956,19,6859, 
16/03/1956,13,2197, 
17/03/1956,13.2,2299.968, 
18/03/1956,16.8,4741.632, 
19/03/1956,17.4,5268.024, 
20/03/1956,11.1,1367.631, 
21/03/1956,12,1728, 
22/03/1956,14.9,3307.949, 
23/03/1956,21.8,10360.232, 
24/03/1956,22.7,11697.083, 
25/03/1956,27.3,20346.417, 
26/03/1956,17.2,5088.448, 
27/03/1956,11.3,1442.897, 
28/03/1956,19.3,7189.057, 
29/03/1956,10.5,1157.625, 
30/03/1956,7.2,373.248, 
31/03/1956,6.3,250.047, 
01/04/1956,6.6,287.496, 
02/04/1956,8.2,551.368, 
03/04/1956,13.6,2515.456, 
04/04/1956,19,6859, 
05/04/1956,25.3,16194.277, 
06/04/1956,6,216, 
07/04/1956,10.3,1092.727, 
08/04/1956,14.1,2803.221, 
09/04/1956,11.5,1520.875, 
10/04/1956,7.4,405.224, 
11/04/1956,6.1,226.981, 
12/04/1956,10.5,1157.625, 
13/04/1956,11,1331, 
14/04/1956,11.8,1643.032, 
15/04/1956,11,1331, 
16/04/1956,8.9,704.969, 
17/04/1956,5.2,140.608, 
18/04/1956,8.7,658.503, 
19/04/1956,5.5,166.375, 
20/04/1956,7.8,474.552, 
21/04/1956,10.3,1092.727, 
22/04/1956,6.7,300.763, 
23/04/1956,6.5,274.625, 
24/04/1956,8,512, 
25/04/1956,4.5,91.125, 
26/04/1956,15.8,3944.312, 
27/04/1956,13.5,2460.375, 
28/04/1956,10.2,1061.208, 
29/04/1956,6.9,328.509, 
30/04/1956,11,1331, 
01/05/1956,13.4,2406.104, 
02/05/1956,12.1,1771.561, 
03/05/1956,9.9,970.299, 
04/05/1956,16.5,4492.125, 
05/05/1956,11.7,1601.613, 
06/05/1956,17.5,5359.375, 
07/05/1956,16.8,4741.632, 
08/05/1956,8.1,531.441, 
09/05/1956,20,8000, 
10/05/1956,11.8,1643.032, 
11/05/1956,19.2,7077.888, 
12/05/1956,15,3375, 
13/05/1956,10.9,1295.029, 
14/05/1956,6.6,287.496, 
15/05/1956,8.2,551.368, 
16/05/1956,10.2,1061.208, 
17/05/1956,7.9,493.039, 
18/05/1956,6.7,300.763, 
19/05/1956,8.2,551.368, 
