Date,wdsp,wdsp^3,glorad
01/05/2004,9.1,753.571,1989
02/05/2004,5.8,195.112,1680
03/05/2004,15,3375,1905
04/05/2004,27.8,21484.952,1802
05/05/2004,17.4,5268.024,2416
06/05/2004,14.1,2803.221,2367
07/05/2004,11.4,1481.544,2333
08/05/2004,6,216,1409
09/05/2004,6.1,226.981,2233
10/05/2004,5.1,132.651,944
11/05/2004,6,216,1758
12/05/2004,5.6,175.616,1331
13/05/2004,7,343,1017
14/05/2004,6.5,274.625,1641
15/05/2004,5.7,185.193,2291
16/05/2004,4.1,68.921,2548
17/05/2004,6.4,262.144,2728
18/05/2004,7.9,493.039,2895
19/05/2004,9.4,830.584,1928
20/05/2004,8,512,1096
21/05/2004,8.9,704.969,1509
22/05/2004,9.8,941.192,2767
23/05/2004,5.8,195.112,2835
24/05/2004,4.6,97.336,2771
25/05/2004,8.1,531.441,2887
26/05/2004,10.4,1124.864,2300
27/05/2004,14.1,2803.221,1094
28/05/2004,15.7,3869.893,2381
29/05/2004,14.7,3176.523,2693
30/05/2004,9.9,970.299,2414
31/05/2004,13.7,2571.353,731
01/06/2004,9.1,753.571,2497
02/06/2004,7.8,474.552,2831
03/06/2004,9.5,857.375,1294
04/06/2004,10.8,1259.712,2679
05/06/2004,4.4,85.184,1869
06/06/2004,4.4,85.184,2422
07/06/2004,9.5,857.375,1491
08/06/2004,9.1,753.571,1035
09/06/2004,12.6,2000.376,1421
10/06/2004,15.7,3869.893,2329
11/06/2004,13.1,2248.091,3027
12/06/2004,5.7,185.193,1772
13/06/2004,7.7,456.533,2706
14/06/2004,9.2,778.688,3051
15/06/2004,10.3,1092.727,3070
16/06/2004,11.3,1442.897,2884
17/06/2004,12.9,2146.689,1407
18/06/2004,11,1331,1991
19/06/2004,9.5,857.375,1866
20/06/2004,8.5,614.125,1588
21/06/2004,4.5,91.125,2152
22/06/2004,13.2,2299.968,392
23/06/2004,21.4,9800.344,2508
24/06/2004,13.8,2628.072,2894
25/06/2004,12,1728,2041
26/06/2004,16.4,4410.944,2759
27/06/2004,12.6,2000.376,2395
28/06/2004,12,1728,1689
29/06/2004,13.6,2515.456,888
30/06/2004,15.2,3511.808,2413
01/07/2004,13.9,2685.619,1664
02/07/2004,20.1,8120.601,2297
03/07/2004,13.3,2352.637,2747
04/07/2004,7.8,474.552,2587
05/07/2004,6.1,226.981,2975
06/07/2004,3.7,50.653,2184
07/07/2004, ,#VALUE!, 
15/07/2004,10.7,1225.043,1011
16/07/2004,5.2,140.608,1367
17/07/2004,7.7,456.533,2591
18/07/2004,6.1,226.981,2710
19/07/2004,8,512,2044
20/07/2004,12.1,1771.561,1181
21/07/2004,8.6,636.056,1720
22/07/2004,8.5,614.125,1974
23/07/2004,7.2,373.248,2639
24/07/2004,8.5,614.125,2386
25/07/2004,13.1,2248.091,1898
26/07/2004,10,1000,1839
27/07/2004,4.5,91.125,2294
28/07/2004,5.8,195.112,1597
29/07/2004,13.5,2460.375,2304
30/07/2004,5.7,185.193,1789
31/07/2004,9.5,857.375,1583
01/08/2004,11,1331,2283
02/08/2004,7.4,405.224,1681
03/08/2004,7.9,493.039,958
04/08/2004,6.2,238.328,2407
05/08/2004,11,1331,720
06/08/2004,7.1,357.911,1983
07/08/2004,14.7,3176.523,1100
08/08/2004,19.3,7189.057,2014
09/08/2004,10.1,1030.301,2402
10/08/2004,11.4,1481.544,2238
11/08/2004,11.5,1520.875,1247
12/08/2004,10.5,1157.625,989
13/08/2004,12.5,1953.125,979
14/08/2004,8.8,681.472,1397
15/08/2004,7.9,493.039,980
16/08/2004,8.5,614.125,1646
17/08/2004,6.9,328.509,2328
18/08/2004,6.4,262.144,882
19/08/2004,13.6,2515.456,2061
20/08/2004,10.8,1259.712,1703
21/08/2004,6.6,287.496,932
22/08/2004,13.7,2571.353,1053
23/08/2004,8.8,681.472,1899
24/08/2004,15.6,3796.416,1402
25/08/2004,11.6,1560.896,1992
26/08/2004,14.3,2924.207,815
27/08/2004,10.4,1124.864,2138
28/08/2004,9.1,753.571,1161
29/08/2004,16.8,4741.632,1363
30/08/2004,8.2,551.368,1856
31/08/2004,5.9,205.379,1917
01/09/2004,8.8,681.472,716
02/09/2004,7.1,357.911,1971
03/09/2004,13.6,2515.456,498
04/09/2004,4.9,117.649,1073
05/09/2004,2.9,24.389,1043
06/09/2004,6.8,314.432,1627
07/09/2004,14.6,3112.136,1234
08/09/2004,15.8,3944.312,1235
09/09/2004,13.5,2460.375,1494
10/09/2004,13.5,2460.375,504
11/09/2004,19.3,7189.057,981
12/09/2004,22.4,11239.424,256
13/09/2004,28.9,24137.569,1388
