Date,Average AI Demand (MW)
2022-01-01,3879.3443437500005
2022-01-02,3956.1758750000004
2022-01-03,4229.561416666666
2022-01-04,4904.933979166667
2022-01-05,5171.150770833333
2022-01-06,5148.510354166667
2022-01-07,5165.626666666666
2022-01-08,4613.3920520833335
2022-01-09,4542.8843125
2022-01-10,4939.23046875
2022-01-11,5028.11146875
2022-01-12,5081.318104166667
2022-01-13,5173.391781249999
2022-01-14,5091.351625
2022-01-15,4647.88565625
2022-01-16,4484.18528125
2022-01-17,5171.863125
2022-01-18,5187.002114583333
2022-01-19,5038.666072916666
2022-01-20,5196.397270833333
2022-01-21,5111.349375
2022-01-22,4649.77434375
2022-01-23,4478.510739583334
2022-01-24,5049.598260416667
2022-01-25,5143.662604166667
2022-01-26,5044.010958333333
2022-01-27,4971.663895833333
2022-01-28,4904.890656250001
2022-01-29,4417.952260416667
2022-01-30,4485.702229166666
2022-01-31,4980.96834375
2022-02-01,4965.415291666667
2022-02-02,4940.25696875
2022-02-03,4908.9315
2022-02-04,4932.8934375
2022-02-05,4635.376583333334
2022-02-06,4413.950385416667
2022-02-07,4912.5550416666665
2022-02-08,4972.326885416666
2022-02-09,4948.124864583334
2022-02-10,5053.357770833333
2022-02-11,5067.288510416666
2022-02-12,4491.735270833334
2022-02-13,4423.534770833333
2022-02-14,4930.060541666667
2022-02-15,5014.068239583333
2022-02-16,4965.800072916666
2022-02-17,5039.195145833333
2022-02-18,5002.586270833333
2022-02-19,4714.70853125
2022-02-20,4490.84471875
2022-02-21,4992.2926875
2022-02-22,4911.067041666666
2022-02-23,4944.52503125
2022-02-24,5066.1146875
2022-02-25,4946.559270833333
2022-02-26,4534.3665
2022-02-27,4297.74059375
2022-02-28,4862.817854166667
2022-03-01,5014.7354375
2022-03-02,5013.11584375
2022-03-03,4982.04346875
2022-03-04,4955.135020833333
2022-03-05,4615.465302083333
2022-03-06,4486.482197916667
2022-03-07,5009.920854166667
2022-03-08,5105.672854166666
2022-03-09,5214.60428125
2022-03-10,5081.618802083333
2022-03-11,4955.45515625
