Day_of_Year,Average_Demand_MW
1,4920.265899999999
2,4915.113609597564
3,4909.953542174195
4,4904.785996812381
5,4899.611272594619
6,4894.429668603401
7,4889.241483921222
8,4884.047017630576
9,4878.846568813954
10,4873.64043655385
11,4868.42891993276
12,4863.212318033175
13,4857.9909299375895
14,4852.765054728498
15,4847.534991488394
16,4842.301039299768
17,4837.063497245117
18,4831.822664406933
19,4826.57883986771
20,4821.332322709942
21,4816.083412016121
22,4810.832406868742
23,4805.5796063502985
24,4800.325309543282
25,4795.069815530189
26,4789.8134233935125
27,4784.556432215743
28,4779.299141079379
29,4774.04184906691
30,4768.784855260831
31,4763.528458743635
32,4758.272958597816
33,4753.0186539058695
34,4747.765843750285
35,4742.514827213561
36,4737.265903378186
37,4732.019371326657
38,4726.775530141466
39,4721.534678905106
40,4716.297116700072
41,4711.063142608858
42,4705.833055713956
43,4700.60715509786
44,4695.385739843065
45,4690.169109032062
46,4684.9575617473465
47,4679.75139707141
48,4674.550914086749
49,4669.356411875855
50,4664.168189521221
51,4658.986546105344
52,4653.811780710714
53,4648.644192419825
54,4643.484080315171
55,4638.331743479247
56,4633.187480994546
57,4628.051591943559
58,4622.924375408784
59,4617.80613047271
60,4612.697156217832
61,4607.597751726646
62,4602.508216081642
63,4597.428848365316
64,4592.359947660161
65,4587.301813048671
66,4582.254743613338
67,4577.219038436657
68,4572.194996601121
69,4567.182917189223
70,4562.1830992834575
71,4557.195841966317
72,4552.2214443202965
73,4547.2602054278905
74,4542.312424371588
75,4537.378400233886
76,4532.45843209728
77,4527.5528190442565
78,4522.661860157317
79,4517.785854518951
80,4512.925101211653
81,4508.079899317914
82,4503.250547920232
83,4498.437346101098
84,4493.640592943005
85,4488.8605875284475
86,4484.097628939921
87,4479.352016259915
88,4474.624048570927
89,4469.914024955447
90,4465.22224449597
91,4460.5490062749905
92,4455.894609375001
93,4451.2593528784955
94,4446.643535867967
95,4442.04745742591
96,4437.471416634818
97,4432.9157125771835
98,4428.380644335501
99,4423.866510992263
100,4419.373611629964
101,4414.902245331098
102,4410.452711178156
103,4406.0253082536365
104,4401.620335640027
105,4397.238092419825
106,4392.878877675525
107,4388.542990489616
108,4384.230729944596
109,4379.9423951229555
110,4375.678285107189
111,4371.438698979791
112,4367.223935823255
113,4363.034294720073
114,4358.87007475274
115,4354.731575003749
116,4350.619094555594
117,4346.532932490767
118,4342.473387891763
